Response ID,What year were you born?  ,What is your gender?  ,"How long have you been in your current job?  If you have more than one job, please answer all questions for your main job.  ",Which of the following best describes your industry?  ,Which of the following best describes your current occupation?  ,How many people are currently employed by your organisation?   ,Which of the following best describes your household?  ,Metro or Regional,"Thinking about your current job, how much of your work time did you spend working remotely in the last quarter of last year?   This means October-December 2020  If you work a 5 day week, each day of remote working equals 20% of your time.  ","How much of your work time would you have preferred to work remotely during the last quarter of last year?   This means October-December 2020  If you work a 5 day week, each day of remote working equals 20% of your time.  ","Thinking about your current job, how much of your work time have you spent working remotely this year?  If you work a 5 day week, each day of remote working equals 20% of your time.  ","How much of your work time would you have preferred to work remotely so far this year?  If you work a 5 day week, each day of remote working equals 20% of your time.  ","Imagine that COVID-19 is cured or eradicated.   Going forward, how much of your work time would you prefer to work remotely?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",These questions are about the remote working arrangements in your organisation.  Has your employer changed or updated their policy on remote work since COVID-19?   This means since February/March 2020  ,"In the past 6 months, have you ever worked part of your day remotely, and part of it at your employer’s workplace?",How often do you work this way?  ,How often would you like to work this way?  ,Does your employer have a policy that workers must be at the employer’s workplace some of the time?  ,"How much of your work time does your employer’s policy require you to be at their workplace?  If you work a 5 day week, 1 day equals 20% of your work time.  ","Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My employer’s remote working policy suits me","Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I get to choose how much work I do remotely","Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I choose which days I work remotely","Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My direct manager has discretion to allow or deny remote work",How do you feel about your employer’s remote working policy?  ,"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My organisation encouraged people to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My organisation was well prepared for me to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - It was common for people in my organisation to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - It was easy to get permission to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I could easily collaborate with colleagues when working remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - Working remotely reduces my chances of promotion","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I take more regular breaks while working remotely",Do you think remote working is a positive or a negative for your employer?  ,Who is most supportive of remote working in your organisation?  ,Imagine that COVID-19 is cured or eradicated.    How likely would you consider the following statements?   - My employer would encourage more remote working,Imagine that COVID-19 is cured or eradicated.    How likely would you consider the following statements?   - My employer would make changes to support remote working,Imagine that COVID-19 is cured or eradicated.    How likely would you consider the following statements?   - I would have more choice about whether I work remotely,"Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Preparing for work and commuting","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Working","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Caring and domestic responsibilities","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Personal and family time","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Sleep","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Preparing for work and commuting","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Working","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Caring and domestic responsibilities","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Personal and family time","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities?  For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Sleep","Imagine your employer offered you the option to work remotely whenever you chose, in return for negotiating a pay cut that you both agree on.  Would you be interested in negotiating?   ",What is the biggest pay cut you would accept?   Please give your answer as a percentage.  ,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My caring responsibilities,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Connectivity (for example internet),Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My organisation's software and systems,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Difficulty collaborating remotely,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Poor management,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - IT equipment (computer or printer),Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Feeling left out and/or isolated,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Extra costs,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Cyber security,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - I have tasks that can't be done remotely,"Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Motivation,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Management discourages remote working,"Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My living situation (e.g. location, home size, who I live with)",Have the following barriers to remote working improved or worsened for you over the past 6 months?   - Lack of remote working skills,Have the following barriers to remote working improved or worsened for you over the past 6 months?   - My health and safety when working remotely,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Interruptions ; Difficulty collaborating with remote colleagues ; Lack of privacy,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Interruptions ; Difficulty collaborating with remote colleagues ; Lack of privacy,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Lack of privacy,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Lack of privacy,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty innovating,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty innovating,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Connectivity/internet issues ; Difficulty collaborating with remote colleagues ; Difficulty innovating ; Lack of privacy,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Connectivity/internet issues ; Difficulty collaborating with remote colleagues ; Difficulty innovating ; Lack of privacy,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Interruptions ; Connectivity/internet issues ; Difficulty innovating,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Interruptions ; Connectivity/internet issues ; Difficulty innovating,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Interruptions ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Interruptions ; Lack of appropriate work and meeting spaces ; Problems with audio-visual setup,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Connectivity/internet issues ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Lack of appropriate work and meeting spaces ; Difficulty innovating ; Lack of privacy,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Lack of appropriate work and meeting spaces ; Difficulty innovating ; Lack of privacy,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Problems with audio-visual setup ; Difficulty innovating ; Lack of privacy,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Problems with audio-visual setup ; Difficulty innovating ; Lack of privacy,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Lack of appropriate work and meeting spaces ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Problems with audio-visual setup ; Lack of privacy,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Connectivity/internet issues ; Problems with audio-visual setup ; Lack of privacy,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Interruptions ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues ; Lack of privacy,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Interruptions ; Lack of appropriate work and meeting spaces ; Difficulty collaborating with remote colleagues ; Lack of privacy,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the biggest barriers of working this way? - Noisy work environment ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating,Think about when you worked at your employer’s workplace and some of your colleagues were working remotely. What were the smallest barriers of working this way? - Noisy work environment ; Problems with audio-visual setup ; Difficulty collaborating with remote colleagues ; Difficulty innovating,How strongly do you agree or disagree with the following statements?   - On days when I work remotely I feel better,How strongly do you agree or disagree with the following statements?   - On days when I work remotely I am more active,How strongly do you agree or disagree with the following statements?   - I feel better on days when I see my colleagues in person,Do you manage people as part of your current job?  ,Do employees you manage ever work remotely?  ,How strongly do you agree or disagree with the following statements?    - I have discretion to offer or deny remote work to employees I manage,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me retain employees,How strongly do you agree or disagree with the following statements?    - Offering remote work helps me to recruit employees,How strongly do you agree or disagree with the following statements?    - My team works well together when they work remotely,How strongly do you agree or disagree with the following statements?    - I find it easy to manage employees remotely (e.g. tasking and monitoring progress),How strongly do you agree or disagree with the following statements?    - I find it easy to manage poor performers remotely,How strongly do you agree or disagree with the following statements?    - I feel well-prepared to manage employees remotely,How strongly do you agree or disagree with the following statements?    - Managing people remotely makes me more focused on results,How strongly do you agree or disagree with the following statements?    - I find it easy to contact my employees when they work remotely,"This question is about your productivity. Productivity means what you produce for each hour that you work. It includes the amount of work you achieve each hour, and the quality of your work each hour.    Please compare your productivity when you work remotely to when you work at your employer’s workplace.    Roughly how productive are you, each hour, when you work remotely?  ","Now think about the productivity of the employees you manage.   Roughly how productive are the employees you manage, each hour, when they work remotely?  "
1,1976,Male,More than 5 years,Other Services,Professionals - ICT Professionals,More than 200,Couple with dependent children,Metro,50% - I spent about half of my time remote working,80%,50% - I spent about half of my time remote working,80%,80%,Yes,Yes,50% - About half of my time,80%,Yes,40%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly Positive,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,2,6,1,7,8,0,8,1,7,8,No,,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Noisy work environment,Lack of privacy,Lack of appropriate work and meeting spaces,Lack of privacy,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Interruptions,Connectivity/internet issues,Noisy work environment,Lack of privacy,Noisy work environment,Connectivity/internet issues,Interruptions,Lack of privacy,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Noisy work environment,Connectivity/internet issues,Interruptions,Lack of privacy,Noisy work environment,Problems with audio-visual setup,Strongly agree,Somewhat agree,Neither agree nor disagree,No,,,,,,,,,,,I’m 50% more productive when working remotely (or more),
2,1971,Male,More than 5 years,Construction,Professionals - ICT Professionals,More than 200,Couple with no dependent children,Metro,10%,50% - About half of my time,Less than 10% of my time,50% - About half of my time,50% - About half of my time,No,Yes,10%,Less than 10% of my time,Yes,100% - All of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Negative,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,1.5,8,2,6,6.5,0,10,4,4,6,No,,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Interruptions,Noisy work environment,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Difficulty innovating,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of privacy,Interruptions,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Difficulty collaborating with remote colleagues,Interruptions,Difficulty innovating,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Interruptions,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Lack of privacy,Problems with audio-visual setup,Interruptions,Lack of privacy,Difficulty innovating,Noisy work environment,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,I’m 50% more productive when working remotely (or more),
3,1978,Female,Between 6 and 12 months,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Single person,Metro,100% - I spent all of my time remote working,100% - All of my time,90%,90%,60%,Yes,No,,,Yes,20%,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat Positive,Senior leadership,Somewhat unlikely,Somewhat likely,Very likely,3,8,1,4,8,1,8,2,5,8,Yes,0.1,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,,,,,,,,,,,My productivity is about same when I work remotely,
4,1962,Female,Between 1 and 5 years,Health Care and Social Assistance,Professionals - Health Professionals,Between 20 and 199,One parent family with dependent children,Regional,40%,40%,40%,40%,40%,Yes,Yes,40%,40%,Yes,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat Negative,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,1,8,6,3,6,1,8,4,4,7,No,,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Significantly worsened,Significantly worsened,Not a barrier for me,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Difficulty collaborating with remote colleagues,Lack of privacy,Lack of privacy,Problems with audio-visual setup,Interruptions,Connectivity/internet issues,Difficulty innovating,Lack of privacy,Noisy work environment,Connectivity/internet issues,Noisy work environment,Interruptions,Interruptions,Problems with audio-visual setup,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Lack of appropriate work and meeting spaces,Interruptions,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Difficulty innovating,Noisy work environment,Problems with audio-visual setup,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Problems with audio-visual setup,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
5,1974,Male,More than 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,Couple with dependent children,Regional,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,No,No,,,No,,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat Positive,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly Positive,My direct manger(s),Somewhat likely,Somewhat likely,Somewhat likely,5,8,2,3,6,,9,3,4,8,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Somewhat agree,Neither agree nor disagree,No,,,,,,,,,,,I’m 20% more productive when working remotely,
6,1985,Male,Between 1 and 5 years,Manufacturing,Technicians and trades workers - Construction Trades Workers,Between 5 and 19,Couple with dependent children,Metro,50% - I spent about half of my time remote working,40%,50% - I spent about half of my time remote working,50% - About half of my time,50% - About half of my time,Yes,Yes,70%,20%,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat Negative,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Negative,Senior leadership,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,3,8,2,3,8,2,8,4,2,8,No,,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Noisy work environment,Interruptions,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Connectivity/internet issues,Noisy work environment,Interruptions,Noisy work environment,Connectivity/internet issues,Interruptions,Difficulty innovating,Noisy work environment,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Noisy work environment,Lack of privacy,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,I’m 20% more productive when working remotely,
7,1973,Male,More than 5 years,Public Administration and Safety,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,80%,100% - All of my time,100% - All of my time,Yes,No,,,Yes,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat Positive,They are about the same,Neither unlikely or likely,Somewhat likely,Somewhat likely,2,8,3,3,8,1,8,3,4,8,No,,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Difficulty innovating,Problems with audio-visual setup,Interruptions,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Difficulty innovating,Problems with audio-visual setup,Difficulty innovating,Connectivity/internet issues,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of privacy,Problems with audio-visual setup,Difficulty innovating,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,I’m 10% more productive when working remotely,I’m 10% more productive when working remotely
8,1992,Female,Between 1 and 5 years,Administrative and Support,Clerical and administrative workers - General Clerical Workers,More than 200,Couple with no dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,90%,No,No,,,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither positive nor negative,They are about the same,Somewhat likely,Somewhat likely,Neither unlikely or likely,1.5,8.5,0.5,5.5,8,0.5,9,0.5,5,9,No,,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,,,,,,,,,,,I’m 20% more productive when working remotely,
9,1970,Female,More than 5 years,Administrative and Support,Clerical and administrative workers - General Clerical Workers,More than 200,One parent family with dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,50% - I spent about half of my time remote working,50% - About half of my time,50% - About half of my time,No,No,,,Unsure,,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat Positive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat Negative,Senior leadership,Somewhat likely,Somewhat likely,Neither unlikely or likely,1,8,5,2,8,1,7,5,3,8,Yes,0.1,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Significantly improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Significantly improved,Interruptions,Lack of privacy,Lack of privacy,Lack of appropriate work and meeting spaces,Lack of appropriate work and meeting spaces,Interruptions,Lack of privacy,Connectivity/internet issues,Difficulty innovating,Interruptions,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Interruptions,Difficulty innovating,Noisy work environment,Noisy work environment,Lack of appropriate work and meeting spaces,Difficulty innovating,Interruptions,Difficulty innovating,Lack of appropriate work and meeting spaces,Lack of privacy,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Interruptions,Difficulty innovating,Noisy work environment,Strongly agree,Somewhat agree,Strongly disagree,No,,,,,,,,,,,I’m 50% less productive when working remotely (or worse),
10,1981,Female,Between 1 and 5 years,Other Services,Professionals - ICT Professionals,More than 200,Couple with no dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,90%,100% - All of my time,100% - All of my time,Yes,Yes,Less than 10% of my time,Less than 10% of my time,Unsure,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat Positive,My direct manger(s),Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,1.5,8,0,7.5,7,0.5,8,0,8.5,7,No,,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly disagree,No,,,,,,,,,,,I’m 50% more productive when working remotely (or more),
