Field,Description
Company,Company name
Valuation,Company valuation in billions (B) of dollars
Date Joined,The date in which the company reached $1 billion in valuation
Industry,Company industry
City,City the company was founded in
Country,Country the company was founded in
Continent,Continent the company was founded in
Year Founded,Year the company was founded
Funding,Total amount raised across all funding rounds in billions (B) or millions (M) of dollars
Select Investors,Top 4 investing firms or individual investors (some have less than 4)
